"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",455.09,335.4,105.95,553.91,231.27,191.37,210.23,197.55,683.52,176.31
"2","SSP2-NoCC",542.46,518.06,142.05,558.87,353,255.86,303.18,307.38,670.31,231.04
"3","SSP1-NoCC",591.38,577.81,161.48,560.17,412.81,285.79,333.56,363.68,669,248.81
"4","SSP3-NoCC",500.6,470.37,125.6,561.18,295.94,226.93,269.85,262.64,678.21,216.51
"5","SSP2-GFDL",539.99,514.23,141.14,557.11,343.87,253.61,299.98,301.22,667.55,228.26
"6","SSP2-IPSL",532.52,509.95,139.77,554.55,339.69,251.69,296.38,297.29,662.5,225.89
"7","SSP2-HGEM",529.51,507.19,138.19,552.01,335.82,249.8,294.61,294.42,659.66,224.36
