"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",142.57,204.93,30.4,158.1,193.48,75.76,39.93,91.48,169.57,85.45
"2","SSP2-NoCC",168.98,254.47,53.3,166.67,250.33,185.12,53.41,130.15,189.41,111.11
"3","SSP1-NoCC",182.9,265.63,65.49,167.56,278.44,235.44,57.25,149.61,193.71,117.13
"4","SSP3-NoCC",156.09,244.88,43.2,166.38,222.09,138.96,48.93,113.9,192.86,106.2
"5","SSP2-GFDL",166.01,252.13,52.69,164.17,247.57,183.11,52.98,128.49,186.61,109.16
"6","SSP2-IPSL",163.75,249.35,52.14,161.96,246.95,180.76,52.34,127.15,183.3,107.58
"7","SSP2-HGEM",163.76,248.98,51.94,162.41,243.44,180.3,52.58,126.5,183.69,107.47
