"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",8.67,9.15,6.59,11.38,5.06,6.14,5.07,5.15,11.44,5.18
"2","SSP2-NoCC",9.66,11.01,8.86,11.74,6.56,7.48,5.88,6.47,11.43,6.44
"3","SSP1-NoCC",10.18,11.6,10.13,11.81,7.4,8.13,6.13,7.15,11.45,6.92
"4","SSP3-NoCC",9.21,10.52,7.8,11.72,5.76,6.86,5.59,5.9,11.54,6.05
"5","SSP2-GFDL",9.59,10.9,8.87,11.65,6.41,7.36,5.78,6.28,11.35,6.32
"6","SSP2-IPSL",9.5,10.77,8.78,11.55,6.33,7.26,5.7,6.16,11.25,6.23
"7","SSP2-HGEM",9.4,10.62,8.62,11.39,6.21,7.09,5.63,6.04,11.11,6.14
