"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",3.79,21.39,2.85,5.17,6.61,2.48,2.11,3.23,4.9,2.17
"2","SSP2-NoCC",4.43,22.52,3.7,5.35,7.78,4.02,2.53,4.27,5.08,2.68
"3","SSP1-NoCC",4.77,22.85,4.21,5.37,8.46,4.73,2.66,4.78,5.13,2.84
"4","SSP3-NoCC",4.12,22.25,3.26,5.34,7.05,3.36,2.38,3.83,5.14,2.54
"5","SSP2-GFDL",4.38,22.47,3.69,5.3,7.69,3.97,2.5,4.18,5.03,2.63
"6","SSP2-IPSL",4.34,22.41,3.66,5.26,7.69,3.92,2.47,4.13,4.98,2.6
"7","SSP2-HGEM",4.31,22.36,3.6,5.23,7.52,3.87,2.45,4.06,4.94,2.57
