"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",0.5,1.8,0.22,0.88,0.49,0.39,0.21,0.87,0.98,0.48
"2","SSP2-NoCC",0.64,2.09,0.28,0.92,0.77,1.04,0.25,1.13,1.06,0.54
"3","SSP1-NoCC",0.71,2.16,0.31,0.92,0.88,1.33,0.25,1.24,1.08,0.56
"4","SSP3-NoCC",0.57,2.04,0.25,0.91,0.65,0.77,0.24,1.02,1.07,0.53
"5","SSP2-GFDL",0.63,2.08,0.28,0.92,0.77,1.03,0.24,1.13,1.06,0.54
"6","SSP2-IPSL",0.63,2.08,0.28,0.91,0.76,1.02,0.24,1.13,1.05,0.54
"7","SSP2-HGEM",0.63,2.07,0.27,0.91,0.75,1.02,0.24,1.12,1.05,0.53
