"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",34.37,20.04,8.8,37.13,13.3,12.68,14.55,13.86,49.96,11.09
"2","SSP2-NoCC",39.45,27.12,11.53,36.56,18.17,15.57,21.18,19.33,48.08,13.13
"3","SSP1-NoCC",42.76,29.34,13.1,36.7,20.67,17.05,23.5,22.26,47.99,13.95
"4","SSP3-NoCC",36.64,25.32,10.2,36.65,15.72,14.15,18.7,16.99,48.56,12.46
"5","SSP2-GFDL",39.31,26.89,11.44,36.45,17.57,15.41,20.93,18.91,47.88,12.9
"6","SSP2-IPSL",38.49,26.48,11.3,36.23,17.3,15.24,20.55,18.58,47.33,12.68
"7","SSP2-HGEM",38.23,26.27,11.16,36.01,17.04,15.08,20.39,18.33,47.09,12.56
