"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",25.78,26.38,40.04,19.04,45.85,17.06,21.99,34.77,22.13,16.09
"2","SSP2-NoCC",29.04,31.27,58.89,19.9,54.37,27.46,26.72,43.68,23.76,18.42
"3","SSP1-NoCC",30.84,32.51,68.99,19.99,59.21,32.27,28.18,48.16,24.15,19.15
"4","SSP3-NoCC",27.35,30.19,50.41,19.94,49.36,22.95,25,39.8,24.17,17.84
"5","SSP2-GFDL",28.58,30.94,59.05,19.57,53.3,26.98,26.13,42.34,23.41,17.93
"6","SSP2-IPSL",28.26,30.54,58.78,19.29,53.05,26.75,25.7,41.54,23.04,17.59
"7","SSP2-HGEM",27.96,30.41,57.97,19.22,51.93,26.53,25.33,40.75,22.9,17.4
