"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",3.71,3.39,2.85,3.45,4.44,3.19,3.08,3.2,3.3,3.4
"2","SSP2-NoCC",3.93,3.79,3.69,3.58,5.25,3.89,3.69,3.79,3.39,3.66
"3","SSP1-NoCC",4.1,3.95,4.19,3.63,5.72,4.23,3.9,4.13,3.44,3.84
"4","SSP3-NoCC",3.77,3.66,3.27,3.56,4.76,3.55,3.44,3.48,3.42,3.51
"5","SSP2-GFDL",3.87,3.72,3.67,3.54,5.14,3.8,3.59,3.66,3.34,3.55
"6","SSP2-IPSL",3.84,3.67,3.64,3.5,5.12,3.76,3.54,3.59,3.31,3.5
"7","SSP2-HGEM",3.81,3.62,3.57,3.46,5.01,3.71,3.51,3.53,3.27,3.46
