"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",579.4,638.63,659.83,769.92,603.57,460.43,437.5,531.44,732.45,315.41
"2","SSP2-NoCC",645.75,755.88,853.11,794.54,747.29,583.71,498.53,643.78,741.92,396.98
"3","SSP1-NoCC",683.61,793.07,966.37,801.27,822.64,642.12,517.88,702.95,747.84,426.52
"4","SSP3-NoCC",611.11,724.67,757.86,790.25,669.66,527.86,475.91,592.82,747.98,372.65
"5","SSP2-GFDL",638.88,748.05,850.17,786.45,730.96,573.99,488.12,622.17,734.06,388.17
"6","SSP2-IPSL",631.47,737.61,841.35,777.76,725.44,565.95,479.35,607.89,725.43,380.89
"7","SSP2-HGEM",623.82,726.85,826.5,767.13,707.31,553.7,472.53,594.95,715.39,374.07
