"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",17.19,10.02,4.4,18.56,6.65,6.34,7.27,6.93,24.98,5.54
"2","SSP2-NoCC",19.73,13.56,5.77,18.28,9.08,7.78,10.59,9.66,24.04,6.56
"3","SSP1-NoCC",21.38,14.67,6.55,18.35,10.34,8.53,11.75,11.13,24,6.98
"4","SSP3-NoCC",18.32,12.66,5.1,18.32,7.86,7.08,9.35,8.49,24.28,6.23
"5","SSP2-GFDL",19.65,13.44,5.72,18.23,8.79,7.7,10.47,9.45,23.94,6.45
"6","SSP2-IPSL",19.25,13.24,5.65,18.12,8.65,7.62,10.27,9.29,23.67,6.34
"7","SSP2-HGEM",19.11,13.14,5.58,18.01,8.52,7.54,10.19,9.17,23.55,6.28
