"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",31.27,20.86,5.61,38.51,16.31,12.39,14.72,13.68,44.61,10.32
"2","SSP2-NoCC",38.26,37.97,7.68,39.51,27.6,17.8,20.97,23.82,44.13,14.48
"3","SSP1-NoCC",42.01,43.73,8.73,39.6,32.95,20.1,22.94,28.89,44.01,15.71
"4","SSP3-NoCC",35.02,33.41,6.8,39.67,22.55,15.53,18.79,19.79,44.67,13.47
"5","SSP2-GFDL",38.04,37.76,7.65,39.42,27.07,17.68,20.81,23.42,44.03,14.37
"6","SSP2-IPSL",37.68,37.57,7.59,39.31,26.8,17.59,20.67,23.2,43.83,14.27
"7","SSP2-HGEM",37.51,37.44,7.53,39.19,26.59,17.5,20.59,23.05,43.7,14.21
