"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",1.85,6.9,0.27,4.24,4.54,1.7,0.52,2.88,3.23,5.92
"2","SSP2-NoCC",1.7,6.27,0.45,4.39,4.46,1.75,0.59,2.96,3.23,5.16
"3","SSP1-NoCC",1.75,6.37,0.54,4.4,4.69,1.86,0.61,3.16,3.25,5.3
"4","SSP3-NoCC",1.62,6.12,0.37,4.26,4.05,1.62,0.56,2.74,3.18,4.93
"5","SSP2-GFDL",1.7,6.27,0.45,4.38,4.46,1.75,0.59,2.96,3.23,5.16
"6","SSP2-IPSL",1.7,6.27,0.45,4.38,4.46,1.75,0.59,2.96,3.23,5.16
"7","SSP2-HGEM",1.7,6.26,0.45,4.37,4.46,1.75,0.59,2.96,3.23,5.16
