"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",12.89,13.19,20.02,9.52,22.92,8.53,11,17.39,11.07,8.05
"2","SSP2-NoCC",14.52,15.63,29.45,9.95,27.18,13.73,13.36,21.84,11.88,9.21
"3","SSP1-NoCC",15.42,16.25,34.5,9.99,29.6,16.13,14.09,24.08,12.07,9.58
"4","SSP3-NoCC",13.67,15.1,25.2,9.97,24.68,11.48,12.5,19.9,12.08,8.92
"5","SSP2-GFDL",14.29,15.47,29.53,9.79,26.65,13.49,13.06,21.17,11.7,8.97
"6","SSP2-IPSL",14.13,15.27,29.39,9.64,26.52,13.38,12.85,20.77,11.52,8.79
"7","SSP2-HGEM",13.98,15.2,28.98,9.61,25.96,13.26,12.66,20.37,11.45,8.7
