"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",6.79,11.46,29.3,2.39,42.52,13.14,11.36,32.51,2,17.17
"2","SSP2-NoCC",4.15,3.37,7.6,1.85,12.56,6.29,3.76,11.38,1.56,5.13
"3","SSP1-NoCC",3.51,2.79,4.97,1.84,9.22,5.53,2.93,8.32,1.53,4.16
"4","SSP3-NoCC",4.89,4.01,12.15,1.82,18.78,7.63,5.21,15.59,1.42,6.22
"5","SSP2-GFDL",4.3,3.5,7.85,1.91,12.98,6.6,3.97,11.93,1.6,5.38
"6","SSP2-IPSL",4.41,3.6,8.03,1.96,13.1,6.79,4.08,12.2,1.64,5.55
"7","SSP2-HGEM",4.51,3.69,8.31,2,13.8,6.96,4.25,12.65,1.68,5.69
