"","scenario","SAS","SSA","EUR","LAC","FSU","EAP","NAM","MEN"
"1","2010",1599.44,1616.72,1754.94,1772.82,2008.39,1684.21,1661.26,2153.81
"2","SSP2-NoCC",1923.83,1976.41,1875.95,1919.04,2244.61,1885.86,1711.33,2332.69
"3","SSP1-NoCC",2089.09,2202.13,1899.4,1994.74,2318.83,1975.18,1732.07,2400.37
"4","SSP3-NoCC",1761.43,1781.11,1844.74,1838.95,2187.91,1809.66,1726.94,2260.13
"5","SSP2-GFDL",1881.73,1925.29,1856.78,1884.7,2221.34,1844.18,1686.87,2301.23
"6","SSP2-IPSL",1860.86,1903.48,1840.5,1864.34,2203.26,1819.54,1668.48,2279.61
"7","SSP2-HGEM",1833.49,1869.14,1820.15,1845.75,2177.56,1795.67,1649.13,2252.19
