"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",925.37,844.25,712.82,860.77,1111.8,796.69,769,802.8,823.86,848.42
"2","SSP2-NoCC",978.7,944.56,921.16,893.29,1309.59,969.31,918.77,945.52,845.53,911.89
"3","SSP1-NoCC",1021.31,983.38,1043.84,903.3,1424.88,1053.49,971.92,1030.16,857.76,956.07
"4","SSP3-NoCC",938.93,911.38,817.36,886.07,1189.45,885.12,857.53,871.17,851.3,875.57
"5","SSP2-GFDL",964.07,926.03,916.44,881.98,1283.26,948.16,895.87,915.2,833.39,883.99
"6","SSP2-IPSL",956.62,913.79,907.19,873.21,1277.82,937.95,883.84,897.09,824.33,871.95
"7","SSP2-HGEM",948.09,901.26,891.83,863.14,1249.78,923.7,874.8,880.87,814.77,860.52
