"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",910.17,670.8,211.9,1107.83,462.53,382.74,420.45,395.09,1367.04,352.62
"2","SSP2-NoCC",1084.92,1036.13,284.09,1117.74,706.01,511.71,606.36,614.76,1340.62,462.08
"3","SSP1-NoCC",1182.77,1155.62,322.95,1120.34,825.62,571.58,667.11,727.35,1338,497.61
"4","SSP3-NoCC",1001.2,940.75,251.21,1122.36,591.88,453.85,539.71,525.29,1356.42,433.02
"5","SSP2-GFDL",1079.97,1028.46,282.28,1114.22,687.73,507.22,599.96,602.43,1335.11,456.52
"6","SSP2-IPSL",1065.03,1019.89,279.54,1109.1,679.37,503.39,592.76,594.58,1325,451.77
"7","SSP2-HGEM",1059.01,1014.38,276.38,1104.01,671.63,499.6,589.23,588.84,1319.32,448.71
