"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",3.17,2.52,0.42,5.56,3.39,1.09,1.35,1.01,5.53,2.04
"2","SSP2-NoCC",3.94,3.47,0.55,5.79,3.6,1.41,1.57,1.46,5.49,2.23
"3","SSP1-NoCC",4.33,3.84,0.6,5.81,3.91,1.54,1.62,1.67,5.47,2.35
"4","SSP3-NoCC",3.6,3.16,0.5,5.75,3.18,1.27,1.5,1.29,5.52,2.1
"5","SSP2-GFDL",3.94,3.47,0.55,5.79,3.6,1.41,1.57,1.46,5.49,2.22
"6","SSP2-IPSL",3.94,3.46,0.55,5.79,3.59,1.41,1.57,1.46,5.49,2.22
"7","SSP2-HGEM",3.93,3.46,0.54,5.78,3.59,1.41,1.57,1.45,5.48,2.22
