"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",15.64,10.43,2.81,19.25,8.15,6.19,7.36,6.84,22.31,5.16
"2","SSP2-NoCC",19.13,18.99,3.84,19.76,13.8,8.9,10.49,11.91,22.07,7.24
"3","SSP1-NoCC",21,21.87,4.37,19.8,16.47,10.05,11.47,14.45,22.01,7.86
"4","SSP3-NoCC",17.51,16.7,3.4,19.84,11.27,7.77,9.39,9.9,22.33,6.74
"5","SSP2-GFDL",19.02,18.88,3.82,19.71,13.53,8.84,10.41,11.71,22.01,7.19
"6","SSP2-IPSL",18.84,18.79,3.8,19.65,13.4,8.8,10.34,11.6,21.91,7.14
"7","SSP2-HGEM",18.75,18.72,3.76,19.6,13.29,8.75,10.3,11.52,21.85,7.1
