"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",96.38,102.56,60.08,119.43,66,62.77,57.51,56.33,127.95,70.66
"2","SSP2-NoCC",111.73,126.27,81.61,123.49,84.19,79.23,69,71.71,128.99,82.24
"3","SSP1-NoCC",119.53,133.89,93.45,123.99,95.01,87.4,72.41,79.53,129.21,87.25
"4","SSP3-NoCC",104.86,119.94,71.66,123.37,73.39,71.51,65.03,65.08,130.37,77.96
"5","SSP2-GFDL",110.91,125.1,81.53,122.75,82.38,77.98,67.89,69.72,128.18,80.84
"6","SSP2-IPSL",109.99,123.76,80.89,121.89,81.67,77.1,67.16,68.63,127.32,79.93
"7","SSP2-HGEM",108.99,122.52,79.55,120.77,80.35,75.81,66.39,67.36,126.24,79.07
