"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",102.92,75.85,23.96,125.27,52.3,43.28,47.55,44.68,154.59,39.87
"2","SSP2-NoCC",122.68,117.17,32.13,126.4,79.84,57.87,68.57,69.52,151.6,52.25
"3","SSP1-NoCC",133.75,130.68,36.52,126.69,93.36,64.63,75.44,82.25,151.3,56.27
"4","SSP3-NoCC",113.22,106.38,28.41,126.92,66.93,51.32,61.03,59.4,153.39,48.97
"5","SSP2-GFDL",122.12,116.3,31.92,126,77.77,57.36,67.84,68.12,150.98,51.62
"6","SSP2-IPSL",120.44,115.33,31.61,125.42,76.82,56.92,67.03,67.24,149.83,51.09
"7","SSP2-HGEM",119.75,114.71,31.25,124.84,75.95,56.5,66.63,66.59,149.19,50.74
