"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",1.56,1.93,1.67,2.03,1.63,1.18,1.11,1.37,2.04,1.03
"2","SSP2-NoCC",1.77,2.33,2.29,2.09,1.95,1.56,1.28,1.63,2.06,1.36
"3","SSP1-NoCC",1.89,2.45,2.63,2.1,2.14,1.74,1.33,1.77,2.08,1.46
"4","SSP3-NoCC",1.67,2.23,2,2.08,1.76,1.39,1.22,1.51,2.08,1.27
"5","SSP2-GFDL",1.75,2.31,2.28,2.07,1.9,1.54,1.25,1.58,2.04,1.34
"6","SSP2-IPSL",1.73,2.28,2.26,2.05,1.89,1.52,1.23,1.54,2.02,1.32
"7","SSP2-HGEM",1.72,2.25,2.23,2.02,1.85,1.49,1.22,1.51,2,1.3
