"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",137.03,294.63,30.64,134.52,61.98,80.08,38.4,50.25,226.12,89.56
"2","SSP2-NoCC",165.2,370.84,53.49,139.55,111.43,240.61,59.77,79.65,242.19,103.18
"3","SSP1-NoCC",181.98,387.78,65.38,140.2,134.39,318.19,67.09,93.56,246.61,106.32
"4","SSP3-NoCC",150.48,356.12,43.58,139.44,90.08,171.23,51.83,68.19,246.33,100.73
"5","SSP2-GFDL",164.18,369.19,53.22,138.61,110.31,238.87,59.48,78.98,241.24,102.34
"6","SSP2-IPSL",161.13,366.04,52.78,137.49,109.41,236.42,58.63,78.2,238.29,101.24
"7","SSP2-HGEM",160.12,365.17,52.39,137.46,108.93,235.49,58.34,77.86,237.86,100.91
