"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",0.45,0.63,0.43,0.97,0.88,0.35,0.31,0.52,0.72,0.27
"2","SSP2-NoCC",0.5,0.87,0.48,0.96,1.03,0.53,0.44,0.75,0.72,0.28
"3","SSP1-NoCC",0.53,0.95,0.52,0.96,1.1,0.61,0.48,0.85,0.72,0.29
"4","SSP3-NoCC",0.47,0.81,0.44,0.95,0.95,0.46,0.39,0.65,0.72,0.28
"5","SSP2-GFDL",0.5,0.86,0.48,0.96,1.01,0.53,0.44,0.74,0.71,0.28
"6","SSP2-IPSL",0.49,0.85,0.48,0.95,1,0.53,0.43,0.73,0.71,0.27
"7","SSP2-HGEM",0.49,0.85,0.47,0.95,0.98,0.52,0.43,0.72,0.7,0.27
