"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",1.82,2.07,1.46,2.4,2.09,1.33,1.17,1.32,2.47,1.32
"2","SSP2-NoCC",1.95,2.31,1.73,2.46,2.36,1.6,1.3,1.5,2.47,1.53
"3","SSP1-NoCC",2.02,2.37,1.9,2.47,2.53,1.74,1.33,1.59,2.48,1.62
"4","SSP3-NoCC",1.89,2.27,1.59,2.42,2.16,1.48,1.26,1.41,2.47,1.46
"5","SSP2-GFDL",1.93,2.28,1.72,2.43,2.31,1.58,1.28,1.45,2.45,1.5
"6","SSP2-IPSL",1.91,2.26,1.7,2.41,2.29,1.55,1.25,1.41,2.42,1.48
"7","SSP2-HGEM",1.89,2.22,1.67,2.38,2.25,1.52,1.24,1.39,2.39,1.46
