"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",1.36,1.61,1.36,1.69,1.2,1.02,0.99,1.19,1.62,0.78
"2","SSP2-NoCC",1.59,2.15,1.74,1.81,1.5,1.38,1.19,1.4,1.71,1.07
"3","SSP1-NoCC",1.69,2.29,1.97,1.84,1.67,1.55,1.25,1.52,1.74,1.16
"4","SSP3-NoCC",1.51,2.04,1.56,1.8,1.35,1.23,1.12,1.3,1.72,1
"5","SSP2-GFDL",1.58,2.13,1.73,1.8,1.46,1.36,1.16,1.35,1.69,1.05
"6","SSP2-IPSL",1.55,2.1,1.71,1.77,1.45,1.34,1.14,1.32,1.67,1.03
"7","SSP2-HGEM",1.53,2.07,1.68,1.75,1.42,1.32,1.13,1.29,1.65,1.01
