"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",0.89,3.29,0.05,1.97,2.21,0.81,0.26,1.38,1.59,2.96
"2","SSP2-NoCC",0.81,2.89,0.06,2.03,2.08,0.8,0.29,1.34,1.59,2.57
"3","SSP1-NoCC",0.84,2.92,0.07,2.04,2.16,0.83,0.3,1.41,1.6,2.63
"4","SSP3-NoCC",0.78,2.83,0.05,1.96,1.91,0.74,0.28,1.26,1.57,2.45
"5","SSP2-GFDL",0.81,2.89,0.06,2.03,2.08,0.8,0.29,1.34,1.59,2.57
"6","SSP2-IPSL",0.81,2.88,0.06,2.02,2.08,0.8,0.29,1.34,1.59,2.57
"7","SSP2-HGEM",0.81,2.88,0.06,2.02,2.08,0.79,0.29,1.34,1.59,2.57
