"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",14.44,13.97,3.24,19.77,8.97,7.21,7.26,6.65,24.12,7.29
"2","SSP2-NoCC",17.56,21.18,4.37,20.01,13.59,9.69,10.65,10.4,23.83,9.69
"3","SSP1-NoCC",19.19,23.53,4.96,20.04,15.88,10.86,11.74,12.32,23.79,10.45
"4","SSP3-NoCC",16.17,19.3,3.87,20.13,11.41,8.56,9.45,8.87,24.13,9.07
"5","SSP2-GFDL",17.49,21.01,4.33,19.93,13.19,9.6,10.53,10.17,23.7,9.58
"6","SSP2-IPSL",17.28,20.86,4.29,19.85,13.02,9.54,10.41,10.05,23.54,9.49
"7","SSP2-HGEM",17.19,20.75,4.25,19.76,12.87,9.48,10.35,9.95,23.44,9.44
