"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",0.93,1.05,0.56,0.75,0.94,0.66,0.54,0.9,0.9,0.45
"2","SSP2-NoCC",1.04,1.26,0.74,0.77,1.1,1.02,0.65,1.09,0.93,0.55
"3","SSP1-NoCC",1.1,1.3,0.84,0.77,1.18,1.17,0.67,1.17,0.95,0.58
"4","SSP3-NoCC",0.99,1.22,0.66,0.76,1.02,0.87,0.61,1.01,0.93,0.53
"5","SSP2-GFDL",1.03,1.25,0.74,0.76,1.07,1,0.64,1.06,0.92,0.54
"6","SSP2-IPSL",1.02,1.23,0.73,0.75,1.07,1,0.64,1.06,0.91,0.53
"7","SSP2-HGEM",1.01,1.22,0.72,0.75,1.05,0.99,0.63,1.04,0.91,0.53
