"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",6.21,8.73,5.46,13.59,11.24,4.7,4.06,6.41,10.04,3.67
"2","SSP2-NoCC",7.09,12.5,6.53,13.5,13.91,7.46,6.13,9.94,10.1,4.05
"3","SSP1-NoCC",7.66,13.78,7.3,13.57,15.38,8.73,6.85,11.78,10.17,4.22
"4","SSP3-NoCC",6.59,11.45,5.85,13.5,12.4,6.24,5.33,8.48,10.2,3.9
"5","SSP2-GFDL",7.04,12.38,6.5,13.48,13.63,7.39,6.04,9.8,10.02,3.96
"6","SSP2-IPSL",6.93,12.28,6.46,13.42,13.52,7.33,5.97,9.69,9.91,3.9
"7","SSP2-HGEM",6.89,12.23,6.37,13.35,13.33,7.3,5.93,9.58,9.85,3.87
