"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",73.15,30.48,12.6,66.26,38.51,35.86,50.38,28.03,62.45,30.95
"2","SSP2-NoCC",81.11,44.15,19.51,70.07,58.22,63.63,74.85,41.43,68.37,52.07
"3","SSP1-NoCC",86,47.84,23.03,70.94,66.15,75.21,82.88,47.4,70.35,58.31
"4","SSP3-NoCC",76.4,41.01,16.47,69.4,50.07,51.99,65.71,36.33,69.17,46.97
"5","SSP2-GFDL",79.94,43.51,19.21,69.07,57.8,62.62,73.61,40.87,67.12,51
"6","SSP2-IPSL",79.73,43.23,19.15,68.88,58.18,62.42,73.58,40.65,66.83,50.75
"7","SSP2-HGEM",79.58,43.14,19.08,68.87,56.63,62.27,73.45,40.36,66.76,50.56
