"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",0.93,0.94,1.49,0.69,1.7,0.62,0.81,1.32,0.8,0.58
"2","SSP2-NoCC",1.06,1.13,2.13,0.73,1.97,0.99,0.97,1.59,0.87,0.67
"3","SSP1-NoCC",1.12,1.18,2.47,0.73,2.12,1.15,1.01,1.73,0.88,0.7
"4","SSP3-NoCC",1,1.09,1.85,0.73,1.81,0.83,0.91,1.47,0.88,0.65
"5","SSP2-GFDL",1.04,1.12,2.14,0.72,1.93,0.97,0.95,1.54,0.85,0.65
"6","SSP2-IPSL",1.03,1.1,2.13,0.71,1.92,0.96,0.93,1.51,0.84,0.64
"7","SSP2-HGEM",1.02,1.1,2.1,0.7,1.88,0.95,0.92,1.48,0.84,0.63
