"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",1.65,1.56,0.88,2.38,1.08,0.95,0.97,0.99,2.45,0.81
"2","SSP2-NoCC",2.05,2.2,1.23,2.46,1.42,1.38,1.12,1.3,2.48,1.04
"3","SSP1-NoCC",2.25,2.4,1.41,2.47,1.6,1.57,1.16,1.45,2.49,1.12
"4","SSP3-NoCC",1.86,2.04,1.07,2.46,1.24,1.2,1.07,1.17,2.5,0.98
"5","SSP2-GFDL",2.03,2.19,1.22,2.45,1.39,1.37,1.1,1.27,2.47,1.03
"6","SSP2-IPSL",2.02,2.17,1.21,2.44,1.39,1.36,1.09,1.25,2.46,1.02
"7","SSP2-HGEM",2.01,2.16,1.2,2.43,1.36,1.34,1.08,1.23,2.45,1.01
