"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",172.09,14.31,33.77,196.97,18.24,18.66,38.78,7.12,153.45,19.77
"2","SSP2-NoCC",200.58,16.75,68.73,201.64,28.23,27.49,50.49,12.93,161.16,28.4
"3","SSP1-NoCC",214.79,17.31,87.27,201.55,31.82,30.44,53.75,15.56,163.04,30.41
"4","SSP3-NoCC",188.3,16.28,54.1,205.17,24.57,24.2,46.97,10.82,167.12,26.74
"5","SSP2-GFDL",196.52,16.38,67.33,196.75,27.58,26.95,49.58,12.65,156.76,27.74
"6","SSP2-IPSL",194.44,16.4,66.22,193.05,27.61,26.97,48.87,12.58,153.65,27.69
"7","SSP2-HGEM",192.62,16.13,65.8,191.58,27.13,26.57,48.6,12.41,152.21,27.24
