"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",2.16,2.23,1.46,2.6,1.58,1.44,1.35,1.4,2.81,1.57
"2","SSP2-NoCC",2.39,2.64,1.84,2.66,1.9,1.72,1.51,1.65,2.78,1.74
"3","SSP1-NoCC",2.5,2.75,2.03,2.66,2.06,1.85,1.55,1.76,2.78,1.82
"4","SSP3-NoCC",2.29,2.55,1.67,2.62,1.71,1.6,1.46,1.54,2.78,1.69
"5","SSP2-GFDL",2.37,2.61,1.83,2.64,1.86,1.69,1.49,1.61,2.76,1.71
"6","SSP2-IPSL",2.35,2.58,1.82,2.62,1.84,1.67,1.47,1.58,2.75,1.7
"7","SSP2-HGEM",2.33,2.56,1.79,2.6,1.81,1.65,1.46,1.55,2.72,1.68
