"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",0.82,0.78,0.44,1.19,0.54,0.48,0.49,0.5,1.23,0.4
"2","SSP2-NoCC",1.02,1.1,0.61,1.23,0.71,0.69,0.56,0.65,1.24,0.52
"3","SSP1-NoCC",1.12,1.2,0.71,1.24,0.8,0.79,0.58,0.72,1.24,0.56
"4","SSP3-NoCC",0.93,1.02,0.54,1.23,0.62,0.6,0.53,0.59,1.25,0.49
"5","SSP2-GFDL",1.02,1.09,0.61,1.23,0.7,0.68,0.55,0.63,1.24,0.51
"6","SSP2-IPSL",1.01,1.09,0.61,1.22,0.69,0.68,0.55,0.62,1.23,0.51
"7","SSP2-HGEM",1,1.08,0.6,1.22,0.68,0.67,0.54,0.61,1.23,0.5
