"","scenario","SAS","SSA","EUR","LAC","FSU","EAP","NAM","MEN"
"1","2010",1621.33,1430.39,2886.7,1897.25,3085.44,1920.14,2811.36,3027.93
"2","SSP2-NoCC",1967.47,1806.94,3054.02,2082.65,3304.96,2344.51,2837.18,3097.42
"3","SSP1-NoCC",2138.11,2032.95,3084.04,2168.54,3372.63,2497.33,2846.98,3134.26
"4","SSP3-NoCC",1805.31,1617.53,3015.31,1997.91,3254.83,2217.76,2862.76,3063.98
"5","SSP2-GFDL",1939.28,1768.58,3036.39,2061.68,3286.58,2318.2,2816.88,3074.63
"6","SSP2-IPSL",1913.99,1745.61,3012.11,2039.38,3259.24,2288.11,2792.48,3045.02
"7","SSP2-HGEM",1875.36,1711.86,2975.57,2016,3215.7,2255.3,2759.13,3000.52
