"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",17.34,18.31,13.17,22.76,10.12,12.28,10.14,10.3,22.88,10.37
"2","SSP2-NoCC",19.32,22.02,17.72,23.47,13.13,14.96,11.76,12.94,22.85,12.89
"3","SSP1-NoCC",20.36,23.2,20.27,23.61,14.79,16.26,12.27,14.29,22.9,13.85
"4","SSP3-NoCC",18.41,21.04,15.59,23.44,11.51,13.72,11.17,11.8,23.09,12.09
"5","SSP2-GFDL",19.17,21.81,17.73,23.3,12.81,14.72,11.56,12.56,22.69,12.64
"6","SSP2-IPSL",19,21.55,17.57,23.09,12.65,14.51,11.4,12.33,22.5,12.47
"7","SSP2-HGEM",18.79,21.24,17.24,22.79,12.41,14.19,11.25,12.08,22.22,12.28
