"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",356.3,1323.32,149.37,647.33,337.73,273.46,144.3,582.76,717.59,347.24
"2","SSP2-NoCC",473.63,1586.18,200.63,681.62,549.27,764.96,179.27,796.73,786.03,406.19
"3","SSP1-NoCC",533.21,1656.5,229.64,684.64,646.35,1000.04,188.65,899.78,799.93,422.04
"4","SSP3-NoCC",419.91,1525.65,176.44,678.93,455.74,553.88,168.5,705.11,797.15,392.77
"5","SSP2-GFDL",470.59,1582.51,199.49,678.89,547.1,760.02,178.57,797.4,783.07,403.67
"6","SSP2-IPSL",467.76,1574.98,197.82,675.95,546.72,753.57,177.43,792.18,777.94,400.88
"7","SSP2-HGEM",466.57,1571.76,196.54,676.01,537.21,751.09,177.14,785.81,777.7,399.7
