"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",279.75,116.57,48.19,253.4,147.27,137.12,192.65,107.18,238.8,118.34
"2","SSP2-NoCC",310.18,168.84,74.61,267.96,222.62,243.33,286.23,158.44,261.47,199.12
"3","SSP1-NoCC",328.87,182.93,88.07,271.29,252.98,287.6,316.96,181.26,269.04,222.99
"4","SSP3-NoCC",292.17,156.82,62.98,265.38,191.48,198.81,251.26,138.95,264.51,179.63
"5","SSP2-GFDL",305.7,166.37,73.46,264.13,221.03,239.48,281.48,156.3,256.67,195.04
"6","SSP2-IPSL",304.9,165.33,73.22,263.4,222.49,238.68,281.38,155.46,255.56,194.06
"7","SSP2-HGEM",304.32,164.99,72.96,263.35,216.57,238.13,280.88,154.32,255.29,193.33
