"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",1.54,1.42,0.88,2.17,1.07,0.91,0.94,1.01,2.25,0.75
"2","SSP2-NoCC",1.84,1.94,1.15,2.22,1.33,1.26,1.03,1.24,2.25,0.93
"3","SSP1-NoCC",1.99,2.08,1.29,2.23,1.46,1.4,1.04,1.34,2.24,0.98
"4","SSP3-NoCC",1.71,1.82,1.03,2.2,1.19,1.11,1,1.15,2.24,0.89
"5","SSP2-GFDL",1.83,1.93,1.15,2.22,1.31,1.24,1.01,1.21,2.24,0.92
"6","SSP2-IPSL",1.81,1.91,1.14,2.21,1.3,1.23,1,1.19,2.23,0.91
"7","SSP2-HGEM",1.81,1.9,1.12,2.2,1.28,1.22,0.99,1.17,2.22,0.9
