"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",16.83,19.9,16.27,19.99,14.34,12.34,12.1,13.92,19.43,9.86
"2","SSP2-NoCC",18.49,23.89,21.4,20.62,18.23,16.46,14.21,17.18,19.73,12.28
"3","SSP1-NoCC",19.41,25.04,24.34,20.75,20.29,18.41,14.87,18.85,19.87,13.14
"4","SSP3-NoCC",17.67,22.91,18.94,20.56,16.15,14.61,13.45,15.75,19.95,11.57
"5","SSP2-GFDL",18.3,23.68,21.31,20.4,17.79,16.19,13.92,16.59,19.52,12.04
"6","SSP2-IPSL",18.03,23.32,21.09,20.17,17.6,15.96,13.69,16.2,19.29,11.81
"7","SSP2-HGEM",17.8,23.04,20.72,19.9,17.22,15.64,13.49,15.85,19.03,11.63
