"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",0.85,4.72,0.66,1.14,1.54,0.56,0.48,0.77,1.09,0.49
"2","SSP2-NoCC",0.97,4.9,0.83,1.18,1.75,0.89,0.56,0.97,1.12,0.59
"3","SSP1-NoCC",1.04,4.93,0.93,1.18,1.87,1.03,0.58,1.06,1.13,0.62
"4","SSP3-NoCC",0.91,4.88,0.75,1.17,1.61,0.75,0.54,0.88,1.13,0.56
"5","SSP2-GFDL",0.96,4.89,0.83,1.17,1.73,0.88,0.55,0.95,1.11,0.58
"6","SSP2-IPSL",0.95,4.87,0.82,1.16,1.73,0.87,0.55,0.94,1.1,0.57
"7","SSP2-HGEM",0.94,4.87,0.81,1.15,1.69,0.85,0.54,0.92,1.09,0.56
