"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",1.83,1.95,2.3,2.35,2.07,1.5,1.46,1.91,2.26,0.99
"2","SSP2-NoCC",1.93,2.2,2.71,2.39,2.38,1.77,1.54,2.1,2.24,1.18
"3","SSP1-NoCC",1.99,2.26,2.95,2.4,2.5,1.89,1.55,2.18,2.25,1.24
"4","SSP3-NoCC",1.88,2.15,2.51,2.35,2.22,1.66,1.51,2.01,2.23,1.13
"5","SSP2-GFDL",1.91,2.17,2.7,2.37,2.32,1.75,1.5,2.03,2.22,1.15
"6","SSP2-IPSL",1.89,2.14,2.67,2.34,2.31,1.72,1.48,1.98,2.19,1.13
"7","SSP2-HGEM",1.86,2.11,2.62,2.31,2.25,1.68,1.46,1.94,2.16,1.11
