"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",1.14,1.57,0.94,1.47,1.64,0.89,0.66,0.98,1.54,0.88
"2","SSP2-NoCC",1.3,1.86,1.14,1.52,2.03,1.35,0.78,1.33,1.59,1.04
"3","SSP1-NoCC",1.38,1.94,1.27,1.53,2.25,1.57,0.81,1.5,1.6,1.1
"4","SSP3-NoCC",1.22,1.79,1.03,1.51,1.81,1.15,0.74,1.19,1.61,0.99
"5","SSP2-GFDL",1.28,1.84,1.13,1.51,2,1.33,0.76,1.3,1.57,1.02
"6","SSP2-IPSL",1.27,1.82,1.12,1.49,2,1.32,0.75,1.28,1.56,1.01
"7","SSP2-HGEM",1.26,1.8,1.1,1.48,1.95,1.3,0.74,1.26,1.54,1
