"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",43.67,65.5,29.29,124.53,96.38,7.22,15.57,351.53,74.86,20.81
"2","SSP2-NoCC",39.48,43.11,24.04,130.37,89.41,5.74,16.58,333.07,75.87,17.61
"3","SSP1-NoCC",40.52,43.57,25.47,132.01,92.3,5.9,16.9,348.26,76.69,17.94
"4","SSP3-NoCC",37.78,41.35,21.88,124.04,82.45,5.33,15.89,311.97,73.98,16.92
"5","SSP2-GFDL",39.48,43.11,24.04,130.37,89.41,5.74,16.58,333.07,75.87,17.61
"6","SSP2-IPSL",39.48,43.11,24.04,130.37,89.41,5.74,16.58,333.07,75.87,17.61
"7","SSP2-HGEM",39.48,43.11,24.04,130.37,89.41,5.74,16.58,333.07,75.87,17.61
