"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",48.19,51.28,30.04,59.71,33,31.39,28.75,28.17,63.98,35.33
"2","SSP2-NoCC",55.86,63.14,40.8,61.75,42.1,39.61,34.5,35.85,64.49,41.12
"3","SSP1-NoCC",59.76,66.94,46.73,61.99,47.51,43.7,36.21,39.77,64.6,43.62
"4","SSP3-NoCC",52.43,59.97,35.83,61.69,36.69,35.75,32.51,32.54,65.18,38.98
"5","SSP2-GFDL",55.46,62.55,40.77,61.37,41.19,38.99,33.94,34.86,64.09,40.42
"6","SSP2-IPSL",54.99,61.88,40.44,60.94,40.84,38.55,33.58,34.31,63.66,39.97
"7","SSP2-HGEM",54.5,61.26,39.77,60.39,40.17,37.9,33.19,33.68,63.12,39.53
