"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",3247.46,2905.74,1912.33,3491.93,3149.9,2270.85,2248.58,2845.37,3641.22,2460.07
"2","SSP2-NoCC",3579.67,3521.85,2474.7,3592.08,3836.61,2794.32,2785.15,3374.31,3661.47,2718.94
"3","SSP1-NoCC",3795.34,3750.4,2806.53,3619.23,4233.65,3050.65,2968.13,3712.36,3684.92,2862.21
"4","SSP3-NoCC",3386.44,3331.54,2192.56,3570.66,3428.35,2540.77,2576.85,3074.24,3690.27,2599.72
"5","SSP2-GFDL",3541.72,3471.14,2463.09,3563.51,3757.07,2741.29,2726.9,3292.29,3628.88,2649.27
"6","SSP2-IPSL",3508.19,3432.58,2439.56,3537.94,3734.6,2713.66,2692.21,3243.6,3597.8,2616.11
"7","SSP2-HGEM",3481.12,3397.12,2400.61,3508.81,3666.53,2676.37,2667.18,3200.18,3569.21,2586.17
