"","scenario","BRA","CHM","ETH","FRP","GHA","IND","NIC","TZA","USA","VNM"
"1","2010",0.12,0.43,0.01,0.25,0.3,0.11,0.03,0.19,0.21,0.39
"2","SSP2-NoCC",0.1,0.36,0.01,0.26,0.28,0.1,0.04,0.18,0.2,0.33
"3","SSP1-NoCC",0.11,0.36,0.01,0.26,0.28,0.11,0.04,0.19,0.2,0.33
"4","SSP3-NoCC",0.1,0.36,0.01,0.25,0.25,0.1,0.04,0.17,0.2,0.32
"5","SSP2-GFDL",0.1,0.36,0.01,0.26,0.28,0.1,0.04,0.18,0.2,0.33
"6","SSP2-IPSL",0.1,0.36,0.01,0.26,0.28,0.1,0.04,0.18,0.2,0.33
"7","SSP2-HGEM",0.1,0.36,0.01,0.26,0.28,0.1,0.04,0.18,0.2,0.33
